Filename,index,color_code
VED_171115_week,755,1
VED_171115_week,1079,1
VED_171115_week,1331,0
VED_171115_week,1993,0
VED_171115_week,2011,0
VED_171115_week,2137,0
VED_171115_week,2519,0
VED_171115_week,2915,0
VED_171115_week,3131,0
VED_171115_week,3185,0
VED_171115_week,3914,0
VED_171115_week,4004,0
VED_171115_week,4148,0
VED_171115_week,4675,0
VED_171115_week,4855,0
VED_171115_week,4909,0
VED_171115_week,5447,0
VED_171115_week,5627,0
VED_171115_week,5717,1
VED_171115_week,6365,0
VED_171115_week,7531,0
VED_171115_week,7673,0
VED_171115_week,7817,0
VED_171115_week,7925,0
VED_171115_week,7979,0
VED_171115_week,8231,0
VED_171115_week,8267,0
VED_171122_week,252,0
VED_171122_week,342,0
VED_171122_week,738,0
VED_171122_week,954,0
VED_171122_week,1314,0
VED_171122_week,1911,0
VED_171122_week,2145,0
VED_171122_week,2372,0
VED_171122_week,2570,0
VED_171122_week,3194,1
VED_171122_week,3374,0
VED_171122_week,3788,0
VED_171122_week,3896,1
VED_171122_week,4544,0
VED_171122_week,4688,0
VED_171122_week,5918,0
VED_171122_week,6008,0
VED_171122_week,6281,1
VED_171122_week,6716,0
VED_171122_week,6806,0
VED_171129_week,126,0
VED_171129_week,234,0
VED_171129_week,486,0
