Filename,index,Speed Limit,color_code,Old_color_code,dir_SPQ_color_code,original_SPQ_color_code
VED_171101_week,496,48,1,0,0.0,0.0
VED_171101_week,516,48,1,0,0.0,0.0
VED_171101_week,1241,64,0,1,0.0,0.0
VED_171101_week,1321,64,0,0,0.0,0.0
VED_171101_week,1621,56,0,0,0.0,0.0
VED_171101_week,1927,56,1,0,0.0,0.0
VED_171101_week,2147,56,0,0,0.0,0.0
VED_171101_week,2319,56,0,0,0.0,0.0
VED_171101_week,2339,56,1,0,1.0,0.0
VED_171101_week,2439,56,1,0,1.0,0.0
VED_171101_week,2639,72,0,0,0.0,0.0
VED_171101_week,3019,64,0,0,0.0,0.0
VED_171101_week,3101,56,1,0,1.0,0.0
VED_171101_week,3121,56,1,0,1.0,0.0
VED_171101_week,3401,48,0,0,0.0,0.0
VED_171101_week,3796,72,0,0,0.0,0.0
VED_171101_week,3856,64,1,0,0.0,0.0
VED_171101_week,3896,64,1,0,1.0,1.0
VED_171101_week,4316,56,0,0,0.0,0.0
VED_171101_week,4576,48,0,0,0.0,0.0
VED_171101_week,5840,72,0,0,0.0,0.0
VED_171101_week,6060,56,0,0,0.0,0.0
VED_171101_week,6120,56,0,0,1.0,0.0
VED_171101_week,6840,48,0,0,0.0,0.0
VED_171101_week,7020,40,0,0,0.0,0.0
VED_171101_week,7230,64,1,0,1.0,1.0
VED_171101_week,8187,56,0,0,0.0,0.0
VED_171101_week,8647,56,1,0,1.0,0.0
VED_171108_week,919,56,1,0,1.0,1.0
VED_171108_week,1324,40,0,1,0.0,0.0
